"filename", "language", "Swift", "JSON", "Ruby", "XML", "C++", "CMake", "YAML", "Markdown", "Properties", "Dart", "HTML", "comment", "blank", "total"
"/Users/samharvey/development/flutter_apps/aquabalance/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 6, 12
"/Users/samharvey/development/flutter_apps/aquabalance/analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 22, 4, 29
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/google-services.json", "JSON", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 11, 1, 46
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/values-night-v31/styles.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 1, 20
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/values-v31/styles.xml", "XML", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 7, 1, 20
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 9, 1, 23
"/Users/samharvey/development/flutter_apps/aquabalance/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"/Users/samharvey/development/flutter_apps/aquabalance/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/samharvey/development/flutter_apps/aquabalance/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"/Users/samharvey/development/flutter_apps/aquabalance/firebase.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/samharvey/development/flutter_apps/aquabalance/ios/Podfile", "Ruby", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 44
"/Users/samharvey/development/flutter_apps/aquabalance/ios/Runner/AppDelegate.swift", "Swift", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
