"filename", "language", "CMake", "C++", "YAML", "Markdown", "Dart", "Swift", "comment", "blank", "total"
"/Users/samharvey/development/flutter_apps/aquabalance/README.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 4, 24
"/Users/samharvey/development/flutter_apps/aquabalance/lib/data/api/rainfall_api.dart", "Dart", 0, 0, 0, 0, -1, 0, 0, 0, -1
"/Users/samharvey/development/flutter_apps/aquabalance/lib/logic/results_calculator.dart", "Dart", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/location_view.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/output_view.dart", "Dart", 0, 0, 0, 0, -1, 0, 4, 1, 4
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/roof_catchment_view.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/tank_inventory_view.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 2
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/usage_comparison_view.dart", "Dart", 0, 0, 0, 0, 51, 0, 173, 8, 232
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/views/water_usage_view.dart", "Dart", 0, 0, 0, 0, 87, 0, 1, 2, 90
"/Users/samharvey/development/flutter_apps/aquabalance/lib/ui/widgets/input_field_widget.dart", "Dart", 0, 0, 0, 0, -1, 0, 1, 0, 0
"/Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/samharvey/development/flutter_apps/aquabalance/linux/flutter/generated_plugins.cmake", "CMake", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/samharvey/development/flutter_apps/aquabalance/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 2, 0, 0, 2
"/Users/samharvey/development/flutter_apps/aquabalance/pubspec.yaml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/samharvey/development/flutter_apps/aquabalance/test/results_calculator_test.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 7
"/Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/samharvey/development/flutter_apps/aquabalance/windows/flutter/generated_plugins.cmake", "CMake", 1, 0, 0, 0, 0, 0, 0, 0, 1
"Total", "-", 2, 7, 1, 20, 157, 2, 179, 16, 384
