Date : 2025-06-12 13:01:39
Directory : /Users/samharvey/development/flutter_apps/aquabalance
Total : 84 files,  9245 codes, 1033 comments, 1163 blanks, all 11441 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         26 |      7,219 |        743 |        779 |      8,741 |
| C++        |         16 |        553 |        131 |        189 |        873 |
| XML        |         12 |        519 |         53 |         12 |        584 |
| CMake      |          8 |        465 |          0 |         92 |        557 |
| JSON       |          7 |        178 |          0 |          2 |        180 |
| HTML       |          1 |         90 |         15 |         17 |        122 |
| Swift      |          6 |         65 |          7 |         21 |         93 |
| Ruby       |          2 |         63 |          4 |         20 |         87 |
| YAML       |          2 |         56 |         80 |         17 |        153 |
| Markdown   |          2 |         29 |          0 |         12 |         41 |
| Properties |          2 |          8 |          0 |          2 |         10 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         84 |      9,245 |      1,033 |      1,163 |     11,441 |
| . (Files)                                                                                                                |          4 |         83 |         80 |         27 |        190 |
| android                                                                                                                  |         12 |        145 |         51 |         11 |        207 |
| android (Files)                                                                                                          |          1 |          3 |          0 |          1 |          4 |
| android/app                                                                                                              |         10 |        137 |         51 |          9 |        197 |
| android/app (Files)                                                                                                      |          1 |         29 |          0 |          0 |         29 |
| android/app/src                                                                                                          |          9 |        108 |         51 |          9 |        168 |
| android/app/src/debug                                                                                                    |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                     |          7 |        102 |         43 |          7 |        152 |
| android/app/src/main (Files)                                                                                             |          1 |         34 |         11 |          1 |         46 |
| android/app/src/main/res                                                                                                 |          6 |         68 |         32 |          6 |        106 |
| android/app/src/main/res/drawable                                                                                        |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/drawable-v21                                                                                    |          1 |          9 |          0 |          1 |         10 |
| android/app/src/main/res/values                                                                                          |          1 |         13 |          9 |          1 |         23 |
| android/app/src/main/res/values-night                                                                                    |          1 |         13 |          9 |          1 |         23 |
| android/app/src/main/res/values-night-v31                                                                                |          1 |         12 |          7 |          1 |         20 |
| android/app/src/main/res/values-v31                                                                                      |          1 |         12 |          7 |          1 |         20 |
| android/app/src/profile                                                                                                  |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                           |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                      |         10 |        167 |          7 |         23 |        197 |
